“Luke, I am Your Father!” This is a quote from Star Wars Episode VI: A New Hope.;B;TRUE;FALSE;;;1
R2-D2 was controlled from the inside by an actor who is midget.;A;TRUE;FALSE;;;1
In Star Wars:The Clone Wars animated tv show, what was Anakin Skywalker''s Apprentices Name?';C;Luke Skywalker;Han Solo;Ahsoka Tano;Jabba the Hut;2
How much time has passed between episode 3 and 4?;D;5 years;8 months;10 parsecs;19 years;2
What is Darth Sidious' real name?';A;Palpatine;Anakin;Greedo;Vader;2
Whose DNA are the Clone Trooper cloned from?;B;Sifo-Diyas;Jango Fett;Boba Fett;Obi-wan Kenobi;2
Who put the order in 10 years before Episode 2 for the clone army?;B;Senator Palpatine;Sifo-Dyas;Obi-Wan Kenobi;Qui-Gon-Jin;2
The planet the Clone Army was cloned on is known as Kamino.;A;TRUE;FALSE;;;1
What color is Mace Windu's lightsaber?;B;Green;Purple;Blue;Red;2
What planet is Jedi Master Yoda from?;D;Tatooine;Dagobah;Coruscant;Unknown;2
Who directed the Star Wars Movies?;C;Ridley Scott;Christopher Nolan;George Lucas;Steven Spielberg;2
Anakin Skywalker marries Padme Amidala in Episode 2.;A;TRUE;FALSE;;;1
What species is Count Dooku?;A;Human;Martian;Wookie;Gungan;2
Jar Jar Binks is the most annoying character in the entire Star Wars Saga. (Hint: He is);A;TRUE;FALSE;;;1
How many Death Stars were built?;C;1;3;2;4;2
The planet Alderaan was destroyed by the Death Star.;A;TRUE;FALSE;;;1
The planet Hoth is a very hot and arid planet.;B;TRUE;FALSE;;;1
What is Anakin Skywalker's mother's name?;C;Fwee;Smee;Shmi;Patrick;2
Has Luke Skywalker ever kissed his sister?;A;TRUE;FALSE;;;1
