What is the name of Link's Horse?,C,Sugar,Shadofax,Epona,Winona,2,Zelda
What is the name of Link's Mystical Sword?,B,Glamdring,Master Sword,Keyblade,The Zenith Blade,2,Zelda
Who is Link's oldest nemesis?,A,Ganondorf,Vaati,Dooku,Sauron,2,Zelda
What is the name of the  younger sister from the Ranch in Majora's Mask?,B,Creamia,Romani,Yuga,Malon,2,Zelda
What is the name of the young girl from Lon Lon Ranch in Ocarina of Time?,C,Romani,Maple,Malon,Talon,2,Zelda
How many Poe sisters call the Forest Temple home?,D,6,3,2,4,2,Zelda
What is the name of Zelda's protector in the Ocarina?,A,Impa,Gala,Suic,Suicune,2,Zelda
The actual main enemy in Majora's Mask was:,A,Majora,Ganondorf,Skullkid,Vaati,2,Zelda
What was the name of the first boss in Majora's Mask?,A,Odolwa,Majora,Master Yi,Epona,2,Zelda
Most games in the Legend of Zelda series take place in what region?,D,Middle Earth,Narnia,Pandora,Hyrule,2,Zelda
What Zelda game was first seen on the Nintendo 64 system?,B,Majora's Mask,Ocarina of Time,Windwaker,A link to the Past,2,Zelda
The character 'Tingle' first appeared in which Zelda game?,A,Majora's Mask,Ocarina of time,Oracle of Ages,Minish Cap,2,Zelda
The first Zelda game was named:,C,The adventures of Link,Ocarina of Time,The Legend of Zelda,Oracle of Ages,2,Zelda
What is the name of the moving bomb you can obtain in many Zelda Games?,D,Bom-bomb,Mobi-Bomb, Tracker Bomb,Bombchu,2,Zelda
What is the first ranged weapon Link finds in the Ocarina of Time?,A,Slingshot,Fairy Bow,Hookshot,Boomerang,2,Zelda
What is the name of the currency used in the Zelda world?,B,Rubies,Rupees,Dollars,Credits,2,Zelda
Which item does not exist in the Zelda world?,D,Longshot,Mask of Truth,Megaton Hammer,Spear of Light,2,Zelda
Which of the following are not one of the three Goddesses in the Zelda world?,C,Din,Farore,Majora,Nayru,2,Zelda
Which of the following are not one of the three major races in the Zelda world?,A,Zoro,Goron,Hylian,Zora,2,Zelda
It's dangerous to go alone!',B,Have this!,Take this!,Arm yourself!,Bring a friend along!,2,Zelda
What is the name of the ghosts found in the Zelda world?,C,Boo,Phantom,Poe,Wraith,2,Zelda
Link's horse is named after what?,D,Link's Mother,Nordic goddess of horses,Zelda's sister,The Celtic horse goddess,2,Zelda
Which Zelda game was the first in which Link could not shoot beams from his sword?,A,Orcarina of Time,Link to the Past,Majora's Mask,The Adventures of Link,2,Zelda
Which is not an item obtainable in Zelda dungeons?,B,Boss Key,Key Card,Dungeon Map,Compass,2,Zelda
Tingle's balloon is what color?,D,Blue,Green,Yellow,Red,2,Zelda
What is the name of the fortune teller in Legend of Zelda: Twilight Princess?,C,Impa,Navi,Fanabi,Tingle,2,Zelda
The large spider boss 'Gohma' has been used in many Legend of Zelda Games.,A,TRUE,FALSE,,,1,Zelda
Tingle was turned into his current self by a Demon known as 'Uncle Rupee',A,TRUE,FALSE,,,1,Zelda
